ident,name,latitude_deg,longitude_deg,elevation_ft
AL83,Community Hospital Heliport,32.534000396728516,-85.91130065917969,400
AL84,Pecan Ponds Farm Airport,30.540622,-87.568846,131
AL86,Lawrence County Hospital Heliport,34.484081,-87.284882,650
AL87,Dale Medical Center Heliport,31.45159912109375,-85.63189697265625,390
AL88,Ban Farm Airport,30.427002,-87.471407,80
AL89,Sommerset Strip,32.71870040893555,-85.36689758300781,820
AL90,Selma Medical Center Heliport,32.42900085449219,-87.05670166015625,150
AL91,The Children's Hospital Heliport,33.50429916381836,-86.8052978515625,698
AL92,Hawk Field,33.30730056762695,-86.40360260009766,420
AL93,Big Sky Airport,34.88560104370117,-86.70999908447266,830
AL94,Evans Field,30.812700271606445,-88.377197265625,212
AL95,McIntosh Community Heliport,31.273182,-88.012408,50
AL96,Bon Secour Seaplane Base,30.29829978942871,-87.74079895019531,0
AL97,Williamson Farm Airport,30.644927,-87.670512,162
AL98,DCH Regional Medical Center Heliport,33.2061,-87.526398,284
AN00,Racs Magazine Heliport,60.933911,-149.145993,40
AN01,Av Ranch Airport,32.81669998168945,-110.31700134277344,3500
AN03,Alaska View Airport,61.991944,-151.360972,166
AN04,Dorcol Airport,61.704275,-149.216115,891
AN37,Frog Pond Airport,35.782262,-90.651955,260
ANYN,Nauru International Airport,-0.547893,166.919525,22
AQBC,Boulder Clay Runway,-74.739373,164.03539,672
AR02,Johnson Regional Medical Center Heliport,35.461216,-93.445383,491
AR03,Centerville Airstrip,35.128718,-93.205798,350
AR05,John Harris Field,35.21590042114258,-93.30490112304688,1770
AR06,Cantrell Farms Airport,35.23249816894531,-92.34329986572266,325
AR07,Ashley County Hospital Heliport,33.14179992675781,-91.93350219726562,164
AR08,Flying Machines Airstrip,36.31529998779297,-93.6666030883789,1150
AR09,Gravette Field,36.413898,-94.438904,1200
AR10,Greenwalt Company Airport,34.80670166015625,-91.6082992553711,232
AR11,Ozark Aerodrome,36.287487,-94.08774,1270
AR12,Mc Donald's Strip,35.320598602299995,-92.018699646,700
AR13,Pearson Field,34.98619842529297,-92.63349914550781,300
AR17,Burns Aerodrome,34.983398,-90.9151,207
AR20,Lawrence Memorial Hospital Heliport,36.074388,-90.967374,265
AR21,Mercy Hospital Fort Smith Heliport,35.35375,-94.352024,454
AR22,Tommy's Flying Service Inc Airport,34.3815,-91.958504,215
AR23,Cedar Creek Ranch Airport,35.125018,-93.47679,420
AR24,White River Medical Center Heliport,35.76810073852539,-91.63459777832031,360
AR27,Lollars Creek Farm Airport,35.93899917602539,-93.845703125,1430
